country,university_count,average_score,safety_and_security,personal_freedom,governance,social_capital,economic_quality,living_conditions,health,education,natural_environment
Albania,1,60.69,74.9,61.59,48.44,47.47,45.44,76.17,73.95,70.07,58.64
Algeria,24,52.13,74.7,39.1,41.96,39.33,39.95,78.24,73.22,59.57,46.29
Argentina,5,61.38,69.72,76.19,49.52,63.3,41.86,82.08,74.45,69.25,60.41
Armenia,1,60.92,70.48,62.56,50.0,47.95,50.35,77.05,73.48,69.19,53.92
Australia,37,79.36,87.91,84.53,82.81,77.42,68.89,93.06,80.36,85.99,69.15
Austria,13,79.38,90.94,85.99,81.19,67.94,68.41,92.51,80.23,81.93,72.97
Azerbaijan,6,56.26,63.47,32.61,40.52,46.55,54.66,78.82,71.25,63.49,45.05
Bangladesh,15,47.87,50.62,39.87,36.25,50.95,45.09,57.09,67.39,44.19,44.58
Belgium,10,77.84,85.76,87.7,80.31,64.55,66.39,92.78,80.6,84.79,63.23
Botswana,2,57.83,72.1,66.64,61.46,49.88,56.28,59.67,59.07,54.5,46.93
Brazil,73,60.07,60.14,63.15,47.12,61.83,50.58,81.37,71.68,59.71,69.35
Bulgaria,3,65.55,74.84,68.31,53.12,54.62,62.46,83.43,74.11,72.79,57.72
Cambodia,1,49.19,66.09,36.13,26.95,44.1,54.09,55.21,70.58,43.25,56.1
Canada,31,79.62,87.92,86.62,82.34,73.6,65.34,93.49,78.88,84.19,69.09
Chile,26,70.18,70.27,76.35,66.98,59.48,63.25,87.7,76.06,73.47,61.29
China,95,62.15,67.96,21.22,48.47,62.67,68.46,85.05,83.11,70.42,47.69
Colombia,27,58.01,36.59,57.92,46.92,58.09,50.01,73.18,77.78,63.33,62.46
Costa Rica,2,69.59,77.8,84.74,68.0,63.45,55.84,81.25,79.09,71.71,68.58
Croatia,3,68.24,84.39,75.16,56.15,52.19,60.36,88.5,75.74,73.54,67.45
Cuba,1,53.44,65.79,28.66,36.49,62.06,40.2,76.96,79.53,70.43,55.65
Cyprus,4,71.82,80.32,78.31,65.69,56.86,62.65,90.17,79.23,79.14,62.69
Czech Republic,20,75.08,90.64,82.53,68.72,61.62,72.12,91.64,79.49,80.66,66.74
Denmark,7,84.55,92.59,94.09,89.45,82.56,76.81,95.77,81.07,87.48,73.94
Ecuador,13,57.42,67.6,63.66,42.88,57.09,42.97,69.69,71.8,62.24,60.18
Egypt,40,48.57,48.13,24.85,34.12,36.69,39.63,71.7,67.2,51.06,44.05
Estonia,3,77.31,86.12,87.2,79.03,61.94,73.32,91.95,77.71,82.19,72.38
Ethiopia,3,41.87,41.62,35.17,39.86,51.61,42.52,42.06,60.91,31.56,52.69
Finland,10,83.47,89.56,91.96,90.41,77.27,70.28,94.46,81.19,88.38,77.99
France,46,76.73,82.98,79.06,77.24,60.6,65.81,92.61,80.46,81.27,70.87
Georgia,2,62.28,69.34,65.58,56.04,52.1,51.19,76.55,70.64,72.33,50.05
Germany,51,80.81,87.92,87.7,84.39,65.96,73.96,94.42,81.41,83.45,71.69
Ghana,6,54.66,69.75,68.4,54.49,50.62,39.68,58.9,63.08,45.75,52.85
Greece,18,68.48,84.2,73.3,60.81,52.31,49.58,89.75,77.43,79.34,65.35
Hong Kong,6,76.9,89.16,53.28,72.31,57.03,78.19,91.36,81.33,85.81,64.69
Hungary,13,66.88,83.8,60.36,45.75,59.51,66.05,88.37,76.7,77.34,62.95
Iceland,2,81.02,91.64,88.74,83.3,77.75,69.92,93.82,82.72,85.19,71.01
India,101,53.66,51.89,47.4,56.03,48.42,48.4,55.9,66.16,50.46,41.78
Indonesia,25,60.88,69.86,53.59,55.24,60.62,55.98,69.55,71.13,60.93,56.4
Iran,67,47.71,55.57,17.09,31.83,48.96,38.93,76.11,74.93,63.75,43.11
Iraq,45,44.66,26.94,38.01,35.85,44.5,44.83,73.61,64.62,45.44,33.67
Ireland,9,80.31,90.97,88.59,81.72,67.73,77.81,92.65,80.04,85.0,69.48
Israel,8,72.25,59.6,68.54,75.4,54.44,70.96,93.5,83.1,81.63,54.09
Italy,56,73.03,86.54,78.44,62.33,60.97,57.77,91.51,80.9,80.0,64.14
Jamaica,1,61.39,60.01,75.12,55.5,53.68,48.02,78.19,73.83,64.13,52.2
Japan,152,78.22,92.78,79.14,79.67,43.82,66.35,92.86,86.5,84.93,70.11
Jordan,15,57.14,70.52,43.66,49.44,40.45,41.7,80.08,68.92,60.79,46.02
Kazakhstan,6,59.53,69.59,39.43,44.4,51.27,63.31,82.44,72.23,78.8,50.18
Kenya,2,52.25,47.64,55.1,47.51,57.03,45.76,49.52,65.21,48.21,50.48
Kuwait,2,60.93,77.12,43.15,47.04,52.71,59.91,87.69,77.33,64.29,48.27
Kyrgyzstan,1,55.75,71.9,51.09,41.34,52.43,49.0,74.77,72.46,61.57,54.46
Latvia,4,72.99,85.14,81.39,68.82,55.06,65.11,87.88,74.52,81.36,75.48
Lebanon,7,51.38,56.41,52.89,32.9,33.69,31.89,74.77,68.65,67.08,51.9
Libya,1,43.46,30.16,38.88,24.48,50.31,45.75,71.57,67.84,48.82,43.26
Lithuania,5,72.54,86.78,79.62,72.57,47.26,65.4,88.11,74.43,81.8,69.64
Luxembourg,1,81.83,96.32,89.2,86.31,66.6,76.93,94.56,81.59,78.79,71.98
Malawi,1,47.83,65.96,61.61,48.38,40.12,37.65,37.18,61.01,33.93,57.58
Malaysia,22,66.84,70.81,46.9,57.23,57.9,64.98,79.52,77.35,72.94,61.07
Malta,1,74.36,89.11,81.05,70.26,68.19,72.04,92.98,80.54,78.33,53.2
Mauritius,1,65.65,80.8,68.3,63.85,61.47,52.93,80.22,71.86,68.68,50.97
Mexico,27,59.3,43.54,58.33,43.89,58.18,60.17,74.22,73.09,63.93,58.4
Moldova,1,59.44,72.79,63.52,47.95,56.55,47.17,79.75,70.57,71.02,51.93
Mongolia,1,57.07,74.24,66.26,49.25,58.78,50.62,66.51,66.74,69.12,45.61
Montenegro,1,65.01,80.95,68.59,55.9,59.33,54.03,83.71,68.44,71.69,53.73
Morocco,10,55.19,74.22,45.63,46.36,36.51,46.89,70.75,71.17,45.25,49.49
Mozambique,1,42.7,54.24,52.63,39.16,47.69,32.49,35.81,52.84,24.36,60.3
Namibia,1,56.38,73.44,67.7,58.26,53.48,39.77,56.79,60.64,49.0,54.03
Nepal,1,51.57,66.64,57.17,48.49,56.38,45.33,56.11,63.87,45.68,49.22
Netherlands,13,82.32,91.19,90.08,87.34,74.03,74.34,95.86,82.05,86.43,62.49
New Zealand,8,80.47,85.07,87.56,87.19,79.88,69.88,90.66,79.84,83.89,71.71
Nigeria,58,44.0,39.3,49.61,36.46,54.39,37.73,49.22,50.12,37.5,49.91
Norway,6,83.59,93.3,94.1,89.66,79.03,77.25,94.7,82.98,85.68,72.37
Oman,4,59.85,81.59,33.7,47.6,53.61,54.85,78.6,75.44,62.0,44.41
Pakistan,55,45.1,42.13,42.64,39.43,48.64,40.35,58.13,60.78,35.41,34.03
Paraguay,1,58.56,73.55,61.38,43.14,62.51,50.06,76.09,70.84,52.1,62.89
Peru,6,61.27,67.53,66.52,48.14,53.59,55.34,69.55,75.81,64.96,64.04
Philippines,10,57.53,46.23,57.2,45.69,64.66,57.79,64.56,70.06,61.55,56.67
Poland,34,70.15,86.74,67.09,58.03,63.27,63.63,90.01,76.31,78.63,61.76
Portugal,16,74.64,86.03,85.78,73.19,62.92,60.63,91.85,77.44,77.64,64.09
Qatar,1,66.24,86.96,30.66,58.19,59.2,73.55,84.84,77.64,69.15,49.08
Romania,22,66.4,83.65,73.56,57.11,49.96,62.04,82.3,73.02,70.47,61.11
Saudi Arabia,27,58.35,66.15,20.87,47.72,51.98,57.77,77.87,75.34,67.77,48.12
Serbia,3,62.75,79.8,60.46,44.79,61.27,55.37,87.69,71.93,73.02,49.64
Singapore,2,78.21,92.05,48.63,79.12,64.68,80.1,93.35,86.89,91.44,55.28
Slovakia,8,71.15,87.27,78.6,61.93,61.15,63.32,89.47,76.74,72.75,67.84
Slovenia,4,74.54,90.05,75.8,63.66,62.69,64.87,91.23,79.88,81.8,74.09
Somalia,1,34.39,31.91,34.32,23.8,43.5,28.23,32.07,44.38,26.32,48.46
South Africa,16,58.67,52.33,73.87,57.63,60.99,52.71,68.31,59.9,52.56,47.29
South Korea,37,74.07,83.03,73.07,69.14,51.59,74.59,91.47,84.8,87.76,57.82
Spain,59,76.03,86.87,83.65,72.48,69.27,57.91,93.81,79.66,80.98,64.02
Sri Lanka,6,56.34,53.6,53.52,48.05,56.64,40.95,67.1,76.58,65.06,58.62
Sudan,1,36.97,33.28,29.29,31.9,34.84,24.46,47.41,60.55,34.11,39.67
Sweden,13,83.67,90.97,91.9,86.41,78.29,76.18,95.33,82.28,85.92,78.74
Switzerland,14,83.42,95.66,87.5,87.67,69.14,79.71,94.66,82.11,87.72,73.6
Taiwan,46,77.36,92.96,79.23,77.68,60.42,73.86,90.22,83.37,84.61,56.57
Tanzania,2,49.2,64.68,47.76,47.24,46.22,46.86,47.52,60.07,42.57,56.74
Thailand,28,60.79,60.87,43.25,40.24,63.19,63.07,78.34,78.92,64.9,52.23
Tunisia,9,54.46,59.83,56.75,50.66,38.73,43.34,78.07,72.05,56.9,45.96
Turkey,80,55.5,45.7,30.22,36.89,45.02,53.04,80.96,74.19,64.77,55.47
Turkmenistan,4,52.38,73.39,22.27,27.79,64.23,54.13,78.72,75.59,66.56,42.63
Uganda,2,46.83,53.01,41.77,38.49,51.21,42.04,46.42,58.49,37.24,52.11
Ukraine,28,58.84,54.31,62.77,45.95,58.57,51.37,78.05,68.71,77.58,55.15
United Arab Emirates,9,66.69,77.15,31.27,63.51,55.16,66.79,84.88,78.38,74.72,51.11
United Kingdom,163,79.95,87.63,85.64,80.63,67.77,73.31,94.16,78.31,84.81,68.65
United States,179,77.44,72.43,78.85,75.18,73.91,72.34,90.74,73.26,83.15,66.69
Uruguay,1,69.69,79.43,84.87,72.82,66.76,55.53,86.04,77.98,70.64,59.61
Uzbekistan,32,53.8,75.89,31.22,38.63,59.86,50.63,67.27,76.28,64.78,40.27
Venezuela,4,43.6,40.45,36.63,13.09,58.3,26.44,69.82,69.61,61.1,62.22
Vietnam,6,58.86,69.1,34.85,47.86,65.97,60.33,71.8,76.99,66.56,52.09
Zambia,2,47.14,66.05,48.29,42.03,50.63,30.93,40.82,57.2,39.04,58.6
Zimbabwe,1,44.67,63.48,37.91,31.66,45.82,37.74,47.34,55.46,56.03,52.53
